Sample,time,power,scale
Blank 1,0.6403,103570.6147,1.55
Blank 1,0.7523,625940.4065,1.6
Blank 1,0.8083,668982.4299,1.6
Blank 1,0.8443,20737.9113,1.6
Blank 1,0.9043,804804.574,1.6
Blank 1,0.9643,238133.6996,2.05
Blank 1,1.0003,1167745.9969,1.5
Blank 1,1.0483,524525.8775,2.25
Blank 1,1.0803,6258140.6383,2.4
Blank 1,1.2123,228377.1714,1.75
Blank 1,1.2483,3215151.097,2.9
Blank 1,1.2923,3513876.9564,2.85
Blank 1,1.3403,123134.8033,1.5
Blank 1,1.3843,1232015.4772,1.7
Blank 1,1.4283,4062684.4865,2.95
Blank 1,1.4643,781787.2168,1.6
Blank 1,1.5123,5230155.1187,1.55
Blank 1,1.5683,2761863.6194,1.55
Blank 1,1.6203,2871340.8927,2.1
Blank 1,1.6643,1026898.3925,2.85
Blank 1,1.7203,2046631.1714,2.15
Blank 1,1.7603,2867657.3125,1.8
Blank 1,1.8283,2537996.5449,1.6
Blank 1,1.8683,3647871.1976,2.35
Blank 1,1.9323,202912.6214,1.85
Blank 1,1.9883,4205319.7934,1.8
Blank 1,2.0283,3308142.3484,1.75
Blank 1,2.0643,3604054.2282,1.5
Blank 1,2.1123,678933.1393,1.55
Blank 1,2.1483,9106210.8549,3
Blank 1,2.1963,4140211.7179,1.8
Blank 1,2.2563,23462843.6008,2.95
Blank 1,2.3043,832254.0244,1.95
Blank 1,2.3603,4257656.4858,2.15
Blank 1,2.4003,14843463.6799,1.85
Blank 1,2.4283,85885.9553,1.8
Blank 1,2.4643,595992.9936,3
Blank 1,2.5163,1372238.058,2.85
Blank 1,2.5683,5193650.6915,2.25
Blank 1,2.6363,585417.8432,1.65
Blank 1,2.6963,1183102.1335,1.7
Blank 1,2.7643,694475.8528,1.85
Blank 1,2.8123,291862.2829,1.8
Blank 1,2.8483,5649601.5821,1.55
Blank 1,2.9203,9137422.3813,1.65
Blank 1,2.9483,1541824.1207,3
Blank 1,2.9723,328754.146,1.5
Blank 2,0.6283,385251.5909,1.65
Blank 2,0.7003,1274524.5755,2.9
Blank 2,0.7603,302108.4493,1.6
Blank 2,0.8203,262337.0295,3
Blank 2,0.8843,133380.5287,1.8
Blank 2,0.9163,9623.8917,2.5
Blank 2,0.9603,540874.1041,2.3
Blank 2,0.9963,221553.5458,2.05
Blank 2,1.0403,1067779.6347,1.5
Blank 2,1.0883,14258764.5721,2.85
Blank 2,1.2203,1081752.3722,1.95
Blank 2,1.2523,1459535.9253,2.05
Blank 2,1.3123,1136321.7948,2.05
Blank 2,1.3523,7964357.1856,1.6
Blank 2,1.4163,1449001.273,1.6
Blank 2,1.4523,3634879.5854,2.95
Blank 2,1.4963,237987.5055,2.15
Blank 2,1.5243,2354998.556,2.1
Blank 2,1.5683,4059958.6778,1.75
Blank 2,1.6123,1969775.3091,2.95
Blank 2,1.6683,1369527.6469,1.6
Blank 2,1.7003,2458852.0963,2.25
Blank 2,1.7403,3774059.4705,3
Blank 2,1.7763,114059.7537,2.05
Blank 2,1.8003,2739133.8699,1.55
Blank 2,1.8443,1388203.5193,1.5
Blank 2,1.8963,8320276.1419,1.6
Blank 2,1.9323,108309.8575,2
Blank 2,1.9603,352670.2299,1.95
Blank 2,1.9963,3884020.4524,1.85
Blank 2,2.0323,3716552.4658,3
Blank 2,2.0803,2440631.7355,2.4
Blank 2,2.1523,11540797.7398,1.6
Blank 2,2.1963,4662793.0935,2.8
Blank 2,2.2443,9362806.4587,1.7
Blank 2,2.3003,6805109.4808,2.85
Blank 2,2.3483,3773585.3445,1.55
Blank 2,2.3843,1165859.3879,2.2
Blank 2,2.4123,1306250.6253,1.6
Blank 2,2.4563,1027380.1573,1.65
Blank 2,2.5003,183073.9618,1.9
Blank 2,2.5403,4531355.4243,1.55
Blank 2,2.5723,598213.4778,2.1
Blank 2,2.5963,5938170.2533,1.9
Blank 2,2.6523,2495984.5642,1.6
Blank 2,2.6923,484194.7164,1.5
Blank 2,2.7643,9525746.9182,2.45
Blank 2,2.8123,5834024.5174,2.7
Blank 2,2.8483,479193.5322,1.55
Blank 2,2.8803,851103.2406,1.5
Blank 2,2.9323,10303088.9143,2.95
Blank 3,0.6523,93449.3627,1.6
Blank 3,0.7083,1620088.5431,1.65
Blank 3,0.7603,281376.2092,3
Blank 3,0.8803,732467.7043,1.85
Blank 3,0.9123,1745259.0721,2.1
Blank 3,0.9523,1215177.5769,2
Blank 3,0.9883,764065.1367,2
Blank 3,1.0283,1278353.3975,1.55
Blank 3,1.0883,1653084.9416,2.95
Blank 3,1.1283,5928777.5209,1.6
Blank 3,1.2003,2306740.5216,2.85
Blank 3,1.2483,778717.6418,2
Blank 3,1.2963,2686845.2523,1.85
Blank 3,1.3403,3509807.6599,1.85
Blank 3,1.3843,422759.6733,1.5
Blank 3,1.4243,2424325.3909,3
Blank 3,1.5323,125607.8252,2.75
Blank 3,1.5643,2920900.441,1.55
Blank 3,1.6123,5297518.0108,3
Blank 3,1.6563,2181655.735,2.1
Blank 3,1.6963,736198.3619,2
Blank 3,1.7483,5726374.5481,2.4
Blank 3,1.8003,7590571.3168,2.95
Blank 3,1.8523,618383.563,2.05
Blank 3,1.9163,4027206.1324,1.7
Blank 3,1.9443,449813.8544,2.75
Blank 3,2.0163,8016122.6445,1.85
Blank 3,2.0683,4957283.826,3
Blank 3,2.1003,343714.6354,1.5
Blank 3,2.1363,61091137.6193,3
Blank 3,2.1683,4527059.1081,1.5
Blank 3,2.2203,630359.8668,1.55
Blank 3,2.2483,651136.1713,3
Blank 3,2.3083,2582741.1666,2.8
Blank 3,2.3523,13220240.875,1.85
Blank 3,2.4243,1984131.4963,1.8
Blank 3,2.4483,4479936.6054,1.65
Blank 3,2.5123,4851953.7197,2.2
Blank 3,2.5483,10258450.5733,3
Blank 3,2.6523,11505925.2766,2.75
Blank 3,2.6923,3029077.2372,1.5
Blank 3,2.7483,4651349.5448,1.95
Blank 3,2.7923,3570417.3648,1.55
Blank 3,2.8643,2859519.179,3
Blank 3,2.9203,4130818.2425,2.25
Blank 3,2.9683,1034177.4836,1.5
0_25X 1,0.7043,129011.7452,1.9
0_25X 1,0.7603,63275.1733,2.25
0_25X 1,0.7963,572905.4527,2.35
0_25X 1,0.8363,70058.7452,2.15
0_25X 1,0.9243,184579.7917,1.6
0_25X 1,1.0123,982923.9941,1.55
0_25X 1,1.0643,5012508.0777,1.55
0_25X 1,1.1123,1795304.869,1.6
0_25X 1,1.1963,360052.649,1.85
0_25X 1,1.2523,4096347.5036,2.95
0_25X 1,1.2803,38688.3721,1.8
0_25X 1,1.3363,964358.392,1.5
0_25X 1,1.3883,882226.7675,1.55
0_25X 1,1.4243,5488797.3249,3
0_25X 1,1.4803,1580374.7131,1.9
0_25X 1,1.5123,318153.3863,2.2
0_25X 1,1.5603,3065702.1632,1.6
0_25X 1,1.6083,3049901.2618,1.6
0_25X 1,1.6443,1164736.0522,1.5
