Sample,time,power,scale
Blank 1,0.6363,295334.2543,1.6
Blank 1,0.6643,1410058.3302,2.9
Blank 1,0.7163,2025470.1685,1.65
Blank 1,0.7723,744414.9351,1.6
Blank 1,0.8243,999692.0494,2.7
Blank 1,0.8843,1042178.1891,2.85
Blank 1,0.9203,122126.4847,2.35
Blank 1,0.9643,111342.0959,1.6
Blank 1,1.0123,154895.9976,1.5
Blank 1,1.0683,544951.2689,2.45
Blank 1,1.1003,364225.6101,1.5
Blank 1,1.2403,1346332.0915,2.95
Blank 1,1.2723,198748.0095,1.55
Blank 1,1.3923,3953432.0877,2.45
Blank 1,1.4323,1753304.5106,1.5
Blank 1,1.4763,3911102.5949,2.95
Blank 1,1.5123,73777.4048,1.75
Blank 1,1.5443,8946512.1708,2.15
Blank 1,1.6003,13156809.2394,2.65
Blank 1,1.6443,5848303.5474,1.75
Blank 1,1.6923,1590668.3384,1.6
Blank 1,1.7403,1983780.6677,1.7
Blank 1,1.7763,7865103.6399,2.75
Blank 1,1.8243,1196583.5709,1.55
Blank 1,1.8723,927048.3321,1.5
Blank 1,1.9243,6697181.6603,2.95
Blank 1,1.9763,6540617.1111,3
Blank 1,2.0163,87654.0695,1.9
Blank 1,2.0483,9611407.8575,3
Blank 1,2.0843,18708618.6629,1.6
Blank 1,2.1403,5915532.5841,1.5
Blank 1,2.1643,3581227.3871,1.8
Blank 1,2.2083,9198018.6869,2.65
Blank 1,2.2643,1400147.7258,1.5
Blank 1,2.3323,3702294.8358,2.2
Blank 1,2.3763,2492315.944,2.6
Blank 1,2.4163,10310892.2223,2.55
Blank 1,2.4603,268655.8433,1.5
Blank 1,2.4963,8327356.0466,2.6
Blank 1,2.5363,5421545.9351,2.6
Blank 1,2.5683,8151363.0191,1.7
Blank 1,2.6083,2647953.9576,2.95
Blank 1,2.6643,6835857.3369,1.65
Blank 1,2.7043,7806322.5627,3
Blank 1,2.7403,11233818.0176,1.55
Blank 1,2.8283,20464580.2485,2.25
Blank 1,2.8643,19922446.6105,1.9
Blank 1,2.9323,15469919.2581,3
Blank 2,0.6323,2700823.8304,2.1
Blank 2,0.6923,389042.1206,2.1
Blank 2,0.7723,1187133.7353,3
Blank 2,0.8043,175720.5901,1.5
Blank 2,0.8363,263800.9032,3
Blank 2,0.9003,977476.295,2.95
Blank 2,0.9443,1052260.4132,2.45
Blank 2,0.9963,1356932.3345,2.2
Blank 2,1.0643,1393697.929,3
Blank 2,1.1043,192128.733,1.5
Blank 2,1.2443,5720585.238,1.6
Blank 2,1.2843,1123679.7011,1.6
Blank 2,1.3803,6223782.6083,1.65
Blank 2,1.4323,14024476.7887,1.75
Blank 2,1.4803,2157543.8188,1.5
Blank 2,1.5483,1553225.1073,1.7
Blank 2,1.5843,892555.7836,1.7
Blank 2,1.6403,14460498.872,1.9
Blank 2,1.6683,3829526.5555,1.7
Blank 2,1.7123,14758736.0726,1.95
Blank 2,1.7563,1305126.9364,2
Blank 2,1.7923,10723452.2956,2.95
Blank 2,1.8323,2243005.6475,1.8
Blank 2,1.8683,656336.9134,1.5
Blank 2,1.9043,9968835.4421,1.75
Blank 2,1.9323,127855.7991,2.45
