Sample,time,power,scale
STD,1.7118,970080.8101,2.85
STD,1.7492,43424.0921,1.7
STD,1.8121,1028903.8919,3
STD,1.8729,571621.9665,1.5
STD,2.0713,5003848.5362,2.5
Blank,1.7241,541281.8183,1.55
Blank,1.7645,1459008.3345,2.95
Blank,1.8017,460134.1229,2.95
Blank,1.8324,61903.9789,1.5
Blank,1.8685,413030.4336,1.6
Blank,2.0158,99970.0705,1.5
Blank,2.0646,975156.7845,1.6
ketamine inj 7,1.7098,1561450.9159,2.95
ketamine inj 7,1.761,71966.7992,1.6
ketamine inj 7,1.7912,6192128.9794,3
ketamine inj 7,1.8686,586149.3686,1.6
ketamine inj 7,1.9854,275216.1797,2.15
ketamine inj 7,2.0646,2128142.5845,2.85
ketamine inj 8,1.7442,96940.4322,1.6
ketamine inj 8,1.7853,2062793.8468,3
ketamine inj 8,1.8338,61593.7628,1.5
ketamine inj 8,1.8658,56091.1917,1.5
ketamine inj 8,2.0604,1664272.2157,2.05
ketamine inj 11,1.755,326063.0482,1.95
ketamine inj 11,1.8028,1023461.0519,3
ketamine inj 11,1.8415,7264.1085,1.5
ketamine inj 11,2.0601,5060158.8162,2.5
ketamine inj 12,1.7106,1319608.2183,1.6
ketamine inj 12,1.7518,2476110.3319,1.5
ketamine inj 12,1.7952,1288057.2427,2.95
ketamine inj 12,1.8827,471552.7749,1.65
ketamine inj 12,1.9748000000000001,3013138.4391,2.2
ketamine inj 12,2.0193,1163623.1896,1.55
ketamine inj 12,2.0678,3688180.0281,1.6
ketamine inj 13,1.7403,225805.7975,1.6
ketamine inj 13,1.782,32155.1693,1.55
ketamine inj 13,1.8147,1227580.9047,2.9
ketamine inj 13,1.8559,344645.2779,1.75
ketamine inj 13,2.0041,2502152.3445,1.5
ketamine inj 13,2.0608,622787.9483,1.7
ketamine inj 14,1.7548,882826.3801,1.65
ketamine inj 14,1.8102,794575.8101,2.95
ketamine inj 14,1.8412,182362.3008,1.5
ketamine inj 14,1.9815,45274853.0475,2.9
ketamine inj 14,2.052,1454169.6484,1.75
ketamine inj 15,1.7522,1021777.4788,1.5
ketamine inj 15,1.8187,585267.4302,1.5
ketamine inj 15,1.866,244947.0933,2.3
ketamine inj 15,1.9614,342881.3152,1.5
ketamine inj 15,2.0118,15802.9651,1.7
ketamine inj 15,2.0608,91051.1868,2.95
ketamine inj 16,1.7586,1314443.1101,1.5
ketamine inj 16,1.8068,4281427.6002,3
ketamine inj 16,1.889,519213.5391,2.95
ketamine inj 16,1.9752,7659498.235,2.85
ketamine inj 16,2.0763,1017266.492,2.8
ketamine inj 19,1.7111,2604560.7164,2.25
ketamine inj 19,1.7725,714933.0584,1.5
ketamine inj 19,1.8112,1617717.2878,2.95
ketamine inj 19,1.8894,2938752.5308,2.75
ketamine inj 19,1.9969,1828318.4039,1.6
ketamine inj 19,2.0767,1290829.6015,1.55
ketamine inj 21,1.7364,2349849.1876,2.75
ketamine inj 21,1.7718,1376242.1484,2.3
ketamine inj 21,1.8029,264106.6993,1.55
ketamine inj 21,1.8376,1627957.7285,1.5
ketamine inj 21,2.0039,2823249.1173,2.75
ketamine inj 21,2.0761,1481022.1169,1.95
ketamine inj 22,1.7206,122068.3457,1.55
ketamine inj 22,1.7515,355729.8513,1.9
ketamine inj 22,1.7949,176879.8386,1.8
ketamine inj 22,1.8603,379692.3789,2.15
ketamine inj 22,1.9605,196635.6027,1.6
ketamine inj 22,2.0108,733946.6993,1.6
ketamine inj 22,2.0598,162683.2248,1.7
ketamine inj 24,1.7139,2909260.3184,3
ketamine inj 24,1.7753,691583.8581,2.95
ketamine inj 24,1.8766,1773198.3479,3
ketamine inj 24,1.9888,1031818.9863,2.85
ketamine inj 24,2.0604,872651.7998,1.7
ketamine inj 25,1.7848,2604880.5195,1.55
ketamine inj 25,1.8295,272188.6592,1.55
ketamine inj 25,1.9744,422965748.6291,2.95
ketamine inj 25,2.0598,21002127.1214,2.4
ketamine inj 27,1.7291,48212.6123,1.5
ketamine inj 27,1.769,4709283.0208,2.95
ketamine inj 27,1.7958,2911850.5722,2.25
ketamine inj 27,1.8422,136560.5015,1.55
ketamine inj 27,1.8771,2318692.9334,1.5
ketamine inj 27,1.9894,1879095.0279,1.6
ketamine inj 27,2.0686,16591747.0539,2.7
