Sample,time,power,scale
Blank 1,1.7363,1032060.2876,3
Blank 1,1.8283,68445.6837,2.9
Blank 1,1.9243,589734.6492,2.9
Blank 1,1.9883,180062.6188,2.1
Blank 1,2.1803,76295.694699999993,1.5
Blank 1,2.3003,77401.108,3
Blank 1,2.3523,17168.5444,1.6
Blank 1,2.3883,774259.4702,1.55
Blank 1,2.4483,3727.3727,2
Blank 1,2.4803,499441.9977,2
Blank 1,2.5123,2700461.3579,2.25
Blank 1,2.6003,235446.4613,1.55
Blank 1,2.7723,1089500.132,1.5
Blank 1,2.8883,300149.5027,1.55
Blank 1,2.9683,53472.0443,2.95
Blank 2,1.6763,444713.9223,2
Blank 2,1.8163,2508.7416,2.35
Blank 2,1.8603,310150.353,1.9
Blank 2,1.9963,136019.394,1.65
Blank 2,2.1243,94926.5512,1.85
Blank 2,2.1763,468308.1458,2.1
Blank 2,2.2803,44847.8861,2.2
Blank 2,2.6043,676032.6705,1.5
Blank 2,2.6603,940639.5118,2.35
Blank 2,2.7003,21149.0404,1.55
Blank 2,2.7563,945575.7323,2.75
Blank 2,2.9003,16833.9232,2.1
Blank 3,1.4483,781995.0334,2.1
Blank 3,1.8363,1820033.9887,2.9
Blank 3,1.8803,9119.6953,1.85
Blank 3,1.9483,592511.0439,2.95
Blank 3,1.9843,1545.2022,1.8
Blank 3,2.1763,264863.8062,1.5
Blank 3,2.2443,64536.8978,1.6
Blank 3,2.3763,19453.8434,2.95
Blank 3,2.4243,117935.5507,1.6
Blank 3,2.5283,294893.5073,2.3
Blank 3,2.6163,715308.7008,2.85
Blank 3,2.6683,875367.2395,1.5
Blank 3,2.7763,172026.8541,3
Blank 3,2.8083,1215.3214,1.6
Blank 3,2.8403,645980.9672,3
Blank 3,2.9003,1009994.7009,2.85
Blank 3,2.9523,22750.0171,1.55
0_25X 1,1.1403,63860.6706,1.6
0_25X 1,1.3963,74544.8389,1.6
0_25X 1,1.4963,3398.8954,1.55
0_25X 1,1.5523,312523.6002,1.6
0_25X 1,1.6963,21179.5917,2
0_25X 1,1.7283,166629.7676,2.75
0_25X 1,1.7643,59551.7135,1.55
0_25X 1,1.8043,783588.9712,1.5
0_25X 1,1.8683,126022.496,2.5
0_25X 1,1.9283,1029681.6581,2.85
0_25X 1,1.9643,498559.069,1.75
0_25X 1,1.9963,20141.794,1.55
0_25X 1,2.1043,43965.2777,1.6
0_25X 1,2.2163,137978.4131,2.6
0_25X 1,2.2603,110347.6494,3
0_25X 1,2.3203,332564.6596,3
0_25X 1,2.3603,117257.2343,1.55
0_25X 1,2.4643,80249.7542,1.6
0_25X 1,2.5123,420549.6889,1.55
0_25X 1,2.6163,288949.3863,3
0_25X 1,2.6763,11502.5536,2.2
0_25X 1,2.7803,511481.558,2.95
0_25X 1,2.8723,223042.8397,1.95
0_25X 1,2.8963,30503.7456,2.3
0_25X 2,1.6483,674237.4698,2.2
0_25X 2,1.7483,213630.857,2.95
0_25X 2,1.8403,351566.09620000003,2.95
0_25X 2,1.9603,87313.3878,2.85
0_25X 2,2.0163,879584.5654,2.55
0_25X 2,2.2403,174843.6265,2.85
0_25X 2,2.3283,341202.456,1.5
0_25X 2,2.3843,145091.9252,1.5
0_25X 2,2.4803,345193.7099,3
0_25X 2,2.5923,142091.0824,2.45
0_25X 2,2.7323,1105608.0678,2.95
0_25X 2,2.7883,102395.3731,1.6
0_25X 2,2.8483,162187.4269,1.6
0_25X 2,2.8963,1344.7835,1.6
0_25X 2,2.9443,205145.0887,2.95
0_25X 2,2.9803,181741.5771,1.85
0_25X 3,1.1923,86781.9195,1.85
0_25X 3,1.2443,22763.847,2.85
0_25X 3,1.4243,323798.1361,3
0_25X 3,1.6283,1933.0372,2.25
0_25X 3,1.6683,276348.875,1.55
0_25X 3,1.8003,285372.2462,1.85
0_25X 3,1.8403,134723.6287,1.5
0_25X 3,1.8803,279485.4818,1.75
0_25X 3,1.9283,13738.7667,2.25
0_25X 3,1.9643,209217.8925,2.45
0_25X 3,2.0163,174880.9495,1.55
0_25X 3,2.1003,135722.983,1.6
0_25X 3,2.1483,426195.1353,1.9
0_25X 3,2.1803,26762.2684,1.7
0_25X 3,2.2123,257328.7576,1.85
0_25X 3,2.2563,139000.2905,1.5
0_25X 3,2.2963,207460.514,2.2
0_25X 3,2.3483,1803072.1769,1.65
0_25X 3,2.4243,412223.698,1.55
0_25X 3,2.4603,451631.5564,1.5
0_25X 3,2.4963,108890.6264,2.9
0_25X 3,2.5403,12081.7541,2.1
0_25X 3,2.6483,772340.5298,3
0_25X 3,2.7803,117201.0384,2.5
0_25X 3,2.8083,527143.2193,1.5
0_25X 3,2.8883,162590.8611,2.2
0_25X 3,2.9323,246404.6105,1.6
0_25X 3,2.9843,380466.2549,1.85
0_5X 1,1.2123,18551.8925,2.25
0_5X 1,1.7643,230493.3645,2.3
0_5X 1,1.7963,234543.2843,1.7
0_5X 1,1.9603,354750.9734,2.05
0_5X 1,2.1283,281084.1644,2.3
0_5X 1,2.1643,7207.63,2
0_5X 1,2.1883,115064.2531,1.55
0_5X 1,2.2123,237066.9458,1.6
