Sample,time,power,scale
Chow 1,13.5414,3082773.7082,1.9
Chow 1,13.8688,6170607.3435,3
Chow 1,13.9603,1852253.2782,1.5
Chow 2,13.5439,4082187.2502,3
Chow 2,13.7569,110612.9753,1.55
Chow 2,13.8768,31126472.6446,3
Chow 2,13.9547,340384.2788,1.55
Chow 3,13.4206,316193.3851,2.1
Chow 3,13.5721,2768197.2101,2.4
Chow 3,13.7488,1861198.8342,1.6
Chow 3,13.8391,4826539.3562,1.7
Chow 3,13.9164,204849.6633,1.5
Chow 4,13.4195,580289.5538,1.5
Chow 4,13.5831,1644153.0757,2.95
Chow 4,13.7563,592871.7476,1.5
Chow 4,13.8465,11008445.3209,3
WD 1,13.4552,1123661.3441,3
WD 1,13.7733,157462.9283,2.65
WD 1,13.9278,337283.7671,1.5
WD 2,13.4312,1972036.6654,1.65
WD 2,13.566,914269.0528,1.6
WD 2,13.7518,237182.6543,1.5
WD 2,13.8968,1251599.3246,2.95
WD 3,13.4259,809357.7671,1.55
WD 3,13.5389,3969171.0056,2
WD 3,13.7629,971253.5481,1.5
WD 3,13.897,23682755.8514,2.95
WD 4,13.4174,705238.6181,1.6
WD 4,13.4964,1625387.0283,1.5
WD 4,13.5828,1180589.6499,1.55
WD 4,13.7074,736266.2641,1.55
WD 4,13.7774,4027098.3501,1.5
WD 4,13.9106,1067938.8266,2.7
