Sample,index,time,power,scale
Chow 1,1,14.12968323308456,23738090.763685297,2.95
Chow 1,2,14.236980503602744,362936.8466602758,1.55
Chow 1,3,14.416353250286894,86318.94145084912,2.2
Chow 1,4,14.581791442389594,1574991.4878095351,1.55
Chow 1,5,14.912646029280305,3820639.0281864386,2.95
Chow 1,6,15.1362536524338,3611100.0610893513,1.85
Chow 1,7,15.344685838606173,7094857.963077234,2.95
Chow 1,8,15.484371578012839,120579.14526328047,1.55
Chow 2,1,14.113408601914603,133070.8692034703,2.95
Chow 2,2,14.230902323865902,646015.7970493983,1.5
Chow 2,3,14.35647828634385,296209.57613660104,1.95
Chow 2,4,14.50818026088801,366263.4560835819,1.65
Chow 2,5,14.815160418535829,53209.71468575521,1.55
Chow 2,6,14.993397677189487,131581.84346675544,1.55
Chow 2,7,15.15702590862388,224112.57355727683,1.5
Chow 2,8,15.29719366762536,78236.20367523623,1.5
Chow 2,9,15.451663748574454,493739.66430456575,1.5
Chow 3,1,14.118202835390006,65613157.660392925,3
Chow 3,2,14.243355823349416,102895.63913527768,1.5
Chow 3,3,14.388815808879233,14793885.630114282,2.35
Chow 3,4,14.496809385644685,505405.0113508987,1.55
Chow 3,5,14.586530008735973,1652506.2433356706,1.55
Chow 3,6,14.880823401653865,1821374.1088497902,3
Chow 3,7,15.130557694920915,6096941.102885535,2.05
Chow 3,8,15.325581060381591,10318115.928053562,2.95
WD 1,1,14.145600496397222,523901.9067321938,3
WD 1,2,14.224036096165039,798005.7274403905,1.65
WD 1,3,14.422638950102193,1559629.9152631932,3
WD 1,4,14.612853744924454,1075877.9338050005,1.55
WD 1,5,14.916134977209687,3586079.9963522856,2.95
WD 1,6,15.12603902894303,2025876.0671776931,2.1
WD 1,7,15.349272885806627,8181318.153905506,3
WD 1,8,15.47973061738932,223369.25503804738,1.8
WD 2,1,14.127329711456952,30799.890758608977,1.5
WD 2,2,14.228880466628578,606636.13095233,3
WD 2,3,14.347284505911233,49372.53441191975,1.55
WD 2,4,14.484291714940374,1211149.6818564523,3
WD 2,5,14.577215223654184,293704.96093847614,2.05
WD 2,6,14.765308374050628,1268894.8209427048,2.95
WD 2,7,14.940686249316705,746653.1357780643,2.4
WD 2,8,15.135641525946516,2226916.827685779,2.15
WD 2,9,15.352112831504982,2450801.9221542655,2.6
WD 2,10,15.472159703417747,305696.4787737969,2.85
WD 3,1,14.126697057991139,219272.4468451103,1.5
WD 3,2,14.228120026408504,3259053.7230403377,3
WD 3,3,14.44330217932402,703789.0761849865,2.9
WD 3,4,14.557109267404115,266813.68747115333,1.85
WD 3,5,14.877086069037908,2091457.8993137195,3
WD 3,6,15.122287867237564,288863.7773700018,1.5
WD 3,7,15.352448126801551,6246283.407921855,2.95
WD 3,8,15.473972356253018,386177.13938920177,1.6
